time	V(p001)
	1.893425e-004	2.500000e+001
	2.436133e-004	2.500000e+001
	3.521548e-004	2.500000e+001
	4.345320e-004	2.500000e+001
	5.372976e-004	2.500000e+001
	7.210380e-004	2.500000e+001
	9.036496e-004	2.500000e+001
	1.177922e-003	2.500000e+001
	1.550051e-003	2.500000e+001
	1.953819e-003	2.500000e+001
	2.381645e-003	2.500000e+001
	3.005777e-003	2.500000e+001
	3.715861e-003	2.500000e+001
	4.720145e-003	2.500000e+001
	5.834805e-003	2.500000e+001
	7.318163e-003	2.500000e+001
	9.080278e-003	2.500000e+001
	1.136273e-002	2.500000e+001
	1.412372e-002	2.500000e+001
	1.764620e-002	2.500001e+001
	2.195870e-002	2.500001e+001
	2.740985e-002	2.500002e+001
	3.413506e-002	2.500002e+001
	4.259033e-002	2.500004e+001
	5.259033e-002	2.500006e+001
	6.687604e-002	2.500009e+001
	8.116176e-002	2.500013e+001
	9.544747e-002	2.500018e+001
	1.097332e-001	2.500024e+001
	1.240189e-001	2.500031e+001
	1.383046e-001	2.500038e+001
	1.525903e-001	2.500047e+001
	1.711618e-001	2.500058e+001
	1.897332e-001	2.500072e+001
	2.083046e-001	2.500086e+001
	2.268760e-001	2.500102e+001
	2.454475e-001	2.500119e+001
	2.640189e-001	2.500138e+001
	2.825903e-001	2.500158e+001
	2.911618e-001	2.500168e+001
	2.997332e-001	2.500178e+001
	3.083046e-001	2.500188e+001
	3.168760e-001	2.500198e+001
	3.254475e-001	2.500209e+001
	3.340189e-001	2.500220e+001
	3.425903e-001	2.500231e+001
	3.511618e-001	2.500243e+001
	3.597332e-001	2.500255e+001
	3.683046e-001	2.500267e+001
	3.768760e-001	2.500279e+001
	3.854475e-001	2.500292e+001
	3.940189e-001	2.500305e+001
	4.025903e-001	2.500318e+001
	4.383046e-001	2.500376e+001
	4.740189e-001	2.500439e+001
	5.097332e-001	2.500507e+001
	5.454475e-001	2.500579e+001
	5.811618e-001	2.500656e+001
	6.168760e-001	2.500738e+001
	6.525903e-001	2.500824e+001
	7.111618e-001	2.500975e+001
	7.697332e-001	2.501139e+001
	8.283046e-001	2.501314e+001
	8.868760e-001	2.501501e+001
	9.454475e-001	2.501700e+001
	1.004019e+000	2.501910e+001
	1.062590e+000	2.502133e+001
	1.162590e+000	2.502540e+001
	1.262590e+000	2.502978e+001
	1.362590e+000	2.503447e+001
	1.462590e+000	2.503947e+001
	1.562590e+000	2.504479e+001
	1.662590e+000	2.505041e+001
	1.762590e+000	2.505635e+001
	1.802590e+000	2.505880e+001
	1.986876e+000	2.507076e+001
	2.171162e+000	2.508360e+001
	2.355447e+000	2.509731e+001
	2.539733e+000	2.511188e+001
	2.724019e+000	2.512733e+001
	2.908305e+000	2.514365e+001
	3.092590e+000	2.516084e+001
	3.335447e+000	2.518470e+001
	3.578305e+000	2.520969e+001
	3.821162e+000	2.523582e+001
	4.064019e+000	2.526307e+001
	4.306876e+000	2.529144e+001
	4.549733e+000	2.532095e+001
	4.792590e+000	2.535159e+001
	4.802590e+000	2.535287e+001
	5.059555e+000	2.538633e+001
	5.316519e+000	2.542067e+001
	5.573483e+000	2.545588e+001
	5.830447e+000	2.549196e+001
	6.087412e+000	2.552891e+001
	6.344376e+000	2.556673e+001
	6.601340e+000	2.560543e+001
	6.762412e+000	2.563000e+001
	6.923483e+000	2.565480e+001
	7.084555e+000	2.567986e+001
	7.245626e+000	2.570515e+001
	7.406697e+000	2.573069e+001
	7.567769e+000	2.575647e+001
	7.728840e+000	2.578250e+001
	7.738840e+000	2.578412e+001
	7.975983e+000	2.582286e+001
	8.213126e+000	2.586197e+001
	8.450269e+000	2.590144e+001
	8.687412e+000	2.594128e+001
	8.924555e+000	2.598148e+001
	9.161697e+000	2.602205e+001
	9.398840e+000	2.606298e+001
	1.073884e+001	2.629872e+001
	1.107759e+001	2.635944e+001
	1.141634e+001	2.642037e+001
	1.175509e+001	2.648151e+001
	1.209384e+001	2.654287e+001
	1.243259e+001	2.660444e+001
	1.277134e+001	2.666621e+001
